policy,scheduled_jobs,skipped_jobs,total_actual_energy_kwh,total_actual_emissions_kg,total_predicted_emissions_kg,avg_wait_h,median_wait_h,p95_wait_h,avg_slowdown,max_nodes_used,max_processors_used,week_index,week_start,input_jobs,fcfs_emissions_kg,fcfs_avg_wait_h,emissions_delta_vs_fcfs_kg,emissions_reduction_vs_fcfs_pct,avg_wait_delta_vs_fcfs_h
fcfs,1200.0,0.0,4621.2279118039,876.1351912829139,516.0784160055471,0.0,0.0,0.0,1.0,1452.0,1452.0,0,2020-05-04T00:00:00+00:00,1200.0,876.1351912829139,0.0,0.0,0.0,0.0
random,1200.0,0.0,4621.2279118039005,836.6585977454351,490.94347799036944,11.861330555555556,11.930555555555555,22.691194444444445,21.085307955198548,436.0,436.0,0,2020-05-04T00:00:00+00:00,1200.0,876.1351912829139,0.0,-39.47659353747872,4.505765084001892,11.861330555555556
carbon_aware,1200.0,0.0,4621.2279118039005,759.5555439267041,428.7108727423465,9.56525625,9.717500000000001,17.78638888888889,17.5512426568863,8175.0,8175.0,0,2020-05-04T00:00:00+00:00,1200.0,876.1351912829139,0.0,-116.57964735620976,13.306125414903564,9.56525625
fcfs,1200.0,0.0,1612.52028215597,309.6909299458996,180.51523187730655,0.0,0.0,0.0,1.0,545.0,545.0,1,2020-05-11T00:00:00+00:00,1200.0,309.6909299458996,0.0,0.0,0.0,0.0
random,1200.0,0.0,1612.52028215597,296.8249008220072,170.51435035812221,11.808880324074075,11.681666666666667,22.69025,22.48694616752671,166.0,166.0,1,2020-05-11T00:00:00+00:00,1200.0,309.6909299458996,0.0,-12.866029123892417,4.154473986738974,11.808880324074075
carbon_aware,1200.0,0.0,1612.5202821559699,265.07978960889693,147.09013236615806,15.336809259259258,17.995277777777776,20.14638888888889,29.67979584309576,2238.0,2238.0,1,2020-05-11T00:00:00+00:00,1200.0,309.6909299458996,0.0,-44.61114033700267,14.405052270919223,15.336809259259258
fcfs,1200.0,0.0,10226.3497375478,1868.1634209491363,878.4822487255067,0.0,0.0,0.0,1.0,373.0,373.0,2,2020-05-18T00:00:00+00:00,1200.0,1868.1634209491363,0.0,0.0,0.0,0.0
random,1200.0,0.0,10226.3497375478,1912.3179808135944,879.2712730790997,11.678178935185185,11.270972222222223,22.880263888888884,18.88342108038195,296.0,296.0,2,2020-05-18T00:00:00+00:00,1200.0,1868.1634209491363,0.0,44.15455986445818,-2.3635276962025666,11.678178935185185
carbon_aware,1200.0,0.0,10226.3497375478,1810.8655586350778,829.7677843082661,14.101722222222222,14.819166666666668,23.364166666666666,22.86305921534887,1248.0,1248.0,2,2020-05-18T00:00:00+00:00,1200.0,1868.1634209491363,0.0,-57.29786231405842,3.067069062135247,14.101722222222222
fcfs,1200.0,0.0,3447.7414636257986,653.1205600213913,513.5992153196207,0.0,0.0,0.0,1.0,613.0,613.0,3,2020-05-25T00:00:00+00:00,1200.0,653.1205600213913,0.0,0.0,0.0,0.0
random,1200.0,0.0,3447.741463625798,629.9442409811593,495.3826561612587,11.713770833333333,11.808055555555555,22.527194444444444,18.296231065326154,238.0,238.0,3,2020-05-25T00:00:00+00:00,1200.0,653.1205600213913,0.0,-23.176319040231988,3.548551440406792,11.713770833333333
carbon_aware,1200.0,0.0,3447.741463625798,590.3985799901113,458.6254876391579,11.199852314814816,11.658055555555556,18.893708333333333,18.671787243929447,2124.0,2124.0,3,2020-05-25T00:00:00+00:00,1200.0,653.1205600213913,0.0,-62.72198003127994,9.60343064827505,11.199852314814816
fcfs,1200.0,0.0,30015.466348951995,10923.885832048698,7556.113609663288,0.0,0.0,0.0,1.0,1013.0,1013.0,4,2020-06-01T00:00:00+00:00,1200.0,10923.885832048698,0.0,0.0,0.0,0.0
random,1200.0,0.0,30015.466348951995,10848.081040363937,7511.576867114261,11.56297013888889,11.63013888888889,22.67501388888889,13.695546141573198,761.0,761.0,4,2020-06-01T00:00:00+00:00,1200.0,10923.885832048698,0.0,-75.80479168476086,0.6939361400351087,11.56297013888889
carbon_aware,1200.0,0.0,30015.466348951995,10492.676520025045,7219.246168857354,11.173433796296298,11.464444444444446,20.053444444444445,13.763149277812099,2587.0,2587.0,4,2020-06-01T00:00:00+00:00,1200.0,10923.885832048698,0.0,-431.2093120236532,3.947398559938839,11.173433796296298
fcfs,1200.0,0.0,8231.63421741425,3005.9561667675625,1848.004793924379,0.0,0.0,0.0,1.0,527.0,527.0,5,2020-06-08T00:00:00+00:00,1200.0,3005.9561667675625,0.0,0.0,0.0,0.0
random,1200.0,0.0,8231.634217414252,2957.7602336023842,1791.079831364304,11.769447916666666,11.53875,22.852777777777774,16.75349658800862,262.0,262.0,5,2020-06-08T00:00:00+00:00,1200.0,3005.9561667675625,0.0,-48.1959331651783,1.6033478364724634,11.769447916666666
carbon_aware,1200.0,0.0,8231.63421741425,2859.776861792308,1724.7738589389405,12.597396527777777,13.349444444444444,17.269402777777778,18.92718172607542,1821.0,1821.0,5,2020-06-08T00:00:00+00:00,1200.0,3005.9561667675625,0.0,-146.17930497525458,4.862988575526956,12.597396527777777
fcfs,1200.0,0.0,2971.2203949023474,1092.2324159841137,588.2393758505657,0.0,0.0,0.0,1.0,526.0,526.0,6,2020-06-15T00:00:00+00:00,1200.0,1092.2324159841137,0.0,0.0,0.0,0.0
random,1200.0,0.0,2971.220394902347,1071.6377888994723,573.266786949123,11.750695601851852,11.805,22.85861111111111,21.005468962076797,442.0,442.0,6,2020-06-15T00:00:00+00:00,1200.0,1092.2324159841137,0.0,-20.594627084641388,1.8855535491578868,11.750695601851852
carbon_aware,1200.0,0.0,2971.220394902347,1024.5314821029383,531.7011390362969,11.199397916666667,10.834444444444445,16.04888888888889,20.57053416522389,3041.0,3041.0,6,2020-06-15T00:00:00+00:00,1200.0,1092.2324159841137,0.0,-67.70093388117539,6.198399982496041,11.199397916666667
fcfs,1200.0,0.0,11102.12163249867,4018.432776661465,1935.0736883389777,0.0,0.0,0.0,1.0,570.0,570.0,7,2020-06-22T00:00:00+00:00,1200.0,4018.432776661465,0.0,0.0,0.0,0.0
random,1200.0,0.0,11102.121632498673,4016.0163188769425,1935.5410336205937,11.914151851851852,12.090972222222224,22.782763888888887,17.666479028028416,469.0,469.0,7,2020-06-22T00:00:00+00:00,1200.0,4018.432776661465,0.0,-2.416457784522663,0.06013433392632908,11.914151851851852
carbon_aware,1200.0,0.0,11102.121632498673,3854.479260213199,1820.3672673079104,12.166404398148147,12.073611111111111,20.206666666666667,17.738044941648663,2593.0,2593.0,7,2020-06-22T00:00:00+00:00,1200.0,4018.432776661465,0.0,-163.95351644826633,4.080036311680689,12.166404398148147
fcfs,1200.0,0.0,2728.0834986133023,1015.4590940600214,472.51113986779507,0.0,0.0,0.0,1.0,463.0,463.0,8,2020-06-29T00:00:00+00:00,1200.0,1015.4590940600214,0.0,0.0,0.0,0.0
random,1200.0,0.0,2728.0834986133023,985.4568051135282,454.76735790115583,11.696448148148148,12.009722222222223,22.550361111111112,21.640609681222063,270.0,270.0,8,2020-06-29T00:00:00+00:00,1200.0,1015.4590940600214,0.0,-30.002288946493195,2.954554163923794,11.696448148148148
carbon_aware,1200.0,0.0,2728.0834986133027,922.1788294988769,420.74181788353957,13.237339583333332,13.016111111111112,18.3275,25.053450486454768,2925.0,2925.0,8,2020-06-29T00:00:00+00:00,1200.0,1015.4590940600214,0.0,-93.28026456114446,9.186018925507884,13.237339583333332
fcfs,1200.0,0.0,9880.016040647266,3601.584482876983,1698.4834408741322,0.0,0.0,0.0,1.0,1207.0,1207.0,9,2020-07-06T00:00:00+00:00,1200.0,3601.584482876983,0.0,0.0,0.0,0.0
random,1200.0,0.0,9880.016040647268,3524.2082726202852,1660.4354838167185,11.690370833333333,11.702777777777778,22.86941666666667,17.73076999268805,629.0,629.0,9,2020-07-06T00:00:00+00:00,1200.0,3601.584482876983,0.0,-77.37621025669796,2.1483935924470954,11.690370833333333
carbon_aware,1200.0,0.0,9880.016040647266,3385.9677245986986,1554.2117589245584,13.028661111111111,15.179583333333333,18.006041666666665,19.70567791591494,4145.0,4145.0,9,2020-07-06T00:00:00+00:00,1200.0,3601.584482876983,0.0,-215.61675827828458,5.986719437053096,13.028661111111111
