week_index,week_start,fcfs_kg,carbon_aware_kg,saved_kg,reduction_pct
0,2020-05-04T00:00:00+00:00,5278.893794954318,4752.3441424119865,526.5496525423314,9.974621066360893
1,2020-05-11T00:00:00+00:00,1360.160511004888,1206.9692908892696,153.1912201156183,11.262731043591353
2,2020-05-18T00:00:00+00:00,3129.2127348280137,2930.9998364511566,198.21289837685708,6.334273671161932
3,2020-05-25T00:00:00+00:00,8462.87359874447,7794.235031089049,668.6385676554219,7.900845497144365
4,2020-06-01T00:00:00+00:00,22401.385509079533,21469.194784087016,932.1907249925171,4.161308346819395
5,2020-06-08T00:00:00+00:00,7607.6892155351925,7255.875656412212,351.8135591229802,4.624447045031276
6,2020-06-15T00:00:00+00:00,15572.067513991547,14797.766711569215,774.3008024223327,4.972369929212169
7,2020-06-22T00:00:00+00:00,24938.3402837197,23805.496902277704,1132.843381441995,4.542577286835485
8,2020-06-29T00:00:00+00:00,18489.41016649041,17452.258977960595,1037.1511885298132,5.609433611946754
9,2020-07-06T00:00:00+00:00,8531.402574265385,8003.699113605163,527.7034606602219,6.185424448871011
