policy,scheduled_jobs,skipped_jobs,total_actual_energy_kwh,total_actual_emissions_kg,total_predicted_emissions_kg,avg_wait_h,median_wait_h,p95_wait_h,avg_slowdown,max_nodes_used,max_processors_used,week_index,week_start,input_jobs,fcfs_emissions_kg,fcfs_avg_wait_h,emissions_delta_vs_fcfs_kg,emissions_reduction_vs_fcfs_pct,avg_wait_delta_vs_fcfs_h
fcfs,4291.0,0.0,30066.872041598395,5278.893794954318,2632.7275617912587,0.0,0.0,0.0,1.0,2132.0,2132.0,0,2020-05-04T00:00:00+00:00,4291.0,5278.893794954318,0.0,0.0,0.0,0.0
random,4291.0,0.0,30066.872041598395,5291.243361542123,2588.293322563446,11.725360703280769,11.625833333333333,22.7875,20.712413226951657,850.0,850.0,0,2020-05-04T00:00:00+00:00,4291.0,5278.893794954318,0.0,12.349566587805384,-0.23394231949900884,11.725360703280769
carbon_aware,4291.0,0.0,30066.872041598395,4752.3441424119865,2233.0944724923525,9.023731906574485,8.118333333333334,19.54222222222222,16.395816335081427,15680.0,15680.0,0,2020-05-04T00:00:00+00:00,4291.0,5278.893794954318,0.0,-526.5496525423314,9.974621066360893,9.023731906574485
fcfs,3062.0,0.0,7205.534313332959,1360.160511004888,613.7647538926893,0.0,0.0,0.0,1.0,1118.0,1118.0,1,2020-05-11T00:00:00+00:00,3062.0,1360.160511004888,0.0,0.0,0.0,0.0
random,3062.0,0.0,7205.534313332959,1319.2065152614423,580.387775566122,11.861341080629941,11.932916666666667,22.786319444444445,20.044858675566438,458.0,458.0,1,2020-05-11T00:00:00+00:00,3062.0,1360.160511004888,0.0,-40.9539957434456,3.0109678535799245,11.861341080629941
carbon_aware,3062.0,0.0,7205.534313332959,1206.9692908892696,494.2936557996233,11.424410969591408,11.978472222222223,19.50583333333333,19.874306730690993,4916.0,4916.0,1,2020-05-11T00:00:00+00:00,3062.0,1360.160511004888,0.0,-153.1912201156183,11.262731043591353,11.424410969591408
fcfs,7941.0,0.0,17462.125859736658,3129.2127348280137,1635.3421592342838,0.0,0.0,0.0,1.0,2095.0,2095.0,2,2020-05-18T00:00:00+00:00,7941.0,3129.2127348280137,0.0,0.0,0.0,0.0
random,7941.0,0.0,17462.125859736654,3153.568606727692,1628.9272852955273,11.8341154206719,11.798055555555555,22.892777777777777,21.76089415193857,458.0,458.0,2,2020-05-18T00:00:00+00:00,7941.0,3129.2127348280137,0.0,24.355871899678277,-0.7783386418123124,11.8341154206719
carbon_aware,7941.0,0.0,17462.125859736658,2930.9998364511566,1472.918807021887,11.155704291371082,9.756944444444445,23.901666666666667,20.264018467521556,2927.0,2927.0,2,2020-05-18T00:00:00+00:00,7941.0,3129.2127348280137,0.0,-198.21289837685708,6.334273671161932,11.155704291371082
fcfs,3153.0,0.0,43711.59474499403,8462.87359874447,4930.251951571954,0.0,0.0,0.0,1.0,917.0,917.0,3,2020-05-25T00:00:00+00:00,3153.0,8462.87359874447,0.0,0.0,0.0,0.0
